編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLLJOHKGFGN98DA,一樓平面,0,,一樓
RPTNMLMJOHKGFAN88DA,坡道平面,0,36.41,地下三樓
RPTNMLMJOHKGFAN88DA,坡道平面,0,36.41,地下三樓
RPQNMLPJOHKGFDN56DA,坡道平面,0,,地下一樓
RPQNMLPKMHKGFBN88DA,其他,0,,一樓
RPSNMLTJMHKGFGN27DA,坡道機械,0,,地下一樓
RPQNMLSLMHKGFBN66DA,一樓平面,0,,一樓
RPUNMLOLMHKGFGN17DA,一樓平面,0,,一樓
RPSNMLQKMHKGFCN66DA,坡道機械,0,,地下一樓
RPPNMLRLMHKGFAN98DA,坡道平面,0,,地下一樓
RPWOMLSLMHKGFDN57DA,一樓平面,1300000,31.01,一樓
RPOPMLRJNHKGFAN98DA,坡道機械,0,,地下三樓
RPSNMLMKNHKGFGN76DA,一樓平面,800000,,一樓
RPPNMLTJNHKGFDN76DA,升降平面,1000000,31.01,地下一樓
RPTNMLRJNHKGFDN96DA,坡道平面,0,28.73,地下一樓
RPVNMLTJNHKGFAN07DA,一樓平面,0,,一樓
RPXNMLTKNHKGFBN47DA,一樓平面,0,,一樓
RPVNMLPKNHKGFBN86DA,坡道平面,850000,25.62,地下二樓
RPUNMLPKNHKGFBN76DA,坡道平面,870000,25.62,地下一樓
RPPNMLOKNHKGFDN98DA,坡道平面,0,,地下二樓
RPRNMLTKNHKGFBN86DA,升降機械,0,,一樓
RPRNMLTKNHKGFBN86DA,一樓平面,0,,一樓
